Date,Burrard_at_Cornwall,month,day,wx_max_temp_c,wx_min_temp_c,wx_mean_temp_c,wx_total_rain_mm,wx_total_snow_cm,wx_total_precip_mm,wx_snow_on_grnd_cm,day_of_week,is_holiday
2019-01-01,1144.77,1,1,5.3,0.8,3.1,0.0,0.0,0.0,0.0,1,True
2019-01-02,1394.38,1,2,5.5,2.4,4.0,3.4,0.0,3.4,0.0,2,False
2019-01-03,886.81,1,3,9.5,4.5,7.0,54.8,0.0,54.8,0.0,3,False
2019-01-04,1483.41,1,4,10.4,6.1,8.3,9.6,0.0,9.6,0.0,4,False
2019-01-05,1561.37,1,5,8.7,5.3,7.0,3.2,0.0,3.2,0.0,5,False
2019-01-06,1240.48,1,6,7.9,3.3,5.6,6.8,0.0,6.8,0.0,6,False
2019-01-07,2660.04,1,7,5.8,0.5,3.2,0.0,0.0,0.0,0.0,0,False
2019-01-08,1882.27,1,8,5.5,-1.0,2.3,2.4,0.0,2.4,0.0,1,False
2019-01-09,1803.08,1,9,10.5,3.8,7.2,6.8,0.0,6.8,0.0,2,False
2019-01-10,2347.37,1,10,11.1,8.2,9.7,3.6,0.0,3.6,0.0,3,False
2019-01-11,2501.09,1,11,10.2,3.5,6.9,0.0,0.0,0.0,0.0,4,False
2019-01-12,2377.06,1,12,11.3,-0.2,5.6,0.0,0.0,0.0,0.0,5,False
2019-01-13,2636.3100000000004,1,13,8.7,0.8,4.8,0.0,0.0,0.0,0.0,6,False
2019-01-14,2801.7200000000007,1,14,4.9,-1.9,1.5,0.0,0.0,0.0,0.0,0,False
2019-01-15,2543.79,1,15,5.3,-2.0,1.7,0.0,0.0,0.0,0.0,1,False
2019-01-16,2443.66,1,16,7.2,-1.8,2.7,0.0,0.0,0.0,0.0,2,False
2019-01-17,1971.44,1,17,10.4,0.1,5.3,12.2,0.0,12.2,0.0,3,False
2019-01-18,1953.08,1,18,9.8,6.8,8.3,7.4,0.0,7.4,0.0,4,False
2019-01-19,1617.65,1,19,9.6,4.2,6.9,2.0,0.0,2.0,0.0,5,False
2019-01-20,2060.59,1,20,7.3,1.9,4.6,0.0,0.0,0.0,0.0,6,False
2019-01-21,2637.82,1,21,7.0,-1.6,2.7,0.0,0.0,0.0,0.0,0,False
2019-01-22,1722.65,1,22,5.7,3.5,4.6,20.0,0.0,20.0,0.0,1,False
2019-01-23,2524.28,1,23,6.8,4.5,5.7,6.4,0.0,6.4,0.0,2,False
2019-01-24,2506.17,1,24,7.3,4.8,6.1,0.0,0.0,0.0,0.0,3,False
2019-01-25,2345.9300000000007,1,25,7.7,3.8,5.8,0.0,0.0,0.0,0.0,4,False
2019-01-26,1892.72,1,26,7.9,4.1,6.0,0.0,0.0,0.0,0.0,5,False
2019-01-27,1828.7,1,27,7.5,0.8,4.2,0.6,0.0,0.6,0.0,6,False
2019-01-28,2849.46,1,28,7.2,-1.6,2.8,0.0,0.0,0.0,0.0,0,False
2019-01-29,3045.71,1,29,7.5,-3.0,2.3,0.0,0.0,0.0,0.0,1,False
2019-01-30,2759.7200000000007,1,30,6.2,-0.7,2.8,0.0,0.0,0.0,0.0,2,False
2019-01-31,2372.59,1,31,8.5,3.5,6.0,1.6,0.0,1.6,0.0,3,False
2019-02-01,1216.81,2,1,8.5,5.5,7.0,20.8,0.0,20.8,0.0,4,False
2019-02-02,1880.84,2,2,7.4,2.4,4.9,0.0,0.0,0.0,0.0,5,False
2019-02-03,538.25,2,3,4.2,-4.0,0.1,0.2,0.2,0.4,0.0,6,False
2019-02-04,905.56,2,4,0.7,-6.2,-2.8,0.0,1.4,0.6,1.0,0,False
2019-02-05,1450.33,2,5,0.5,-8.2,-3.9,0.0,0.0,0.0,0.0,1,False
2019-02-06,1607.49,2,6,1.6,-7.3,-2.9,0.0,0.0,0.0,0.0,2,False
2019-02-07,1708.84,2,7,2.0,-5.9,-2.0,0.0,0.0,0.0,0.0,3,False
2019-02-08,1228.66,2,8,1.4,-3.1,-0.9,0.0,0.2,0.2,0.0,4,False
2019-02-09,1146.5,2,9,4.1,-4.8,-0.4,0.0,0.0,0.0,0.0,5,False
2019-02-10,477.19,2,10,-1.5,-8.8,-5.2,0.0,10.0,4.8,3.0,6,False
2019-02-11,356.02,2,11,-1.4,-6.9,-4.2,0.0,5.6,5.6,9.0,0,False
2019-02-12,207.41,2,12,-0.9,-3.2,-2.1,0.0,7.4,6.8,14.0,1,False
2019-02-13,427.98,2,13,1.6,-4.1,-1.3,0.0,2.4,2.4,20.0,2,False
2019-02-14,503.04,2,14,2.3,-8.5,-3.1,0.0,4.0,6.2,10.0,3,False
2019-02-15,447.96,2,15,3.5,1.1,2.3,13.4,0.0,13.4,9.0,4,False
2019-02-16,791.8,2,16,5.4,-0.6,2.4,0.2,0.0,0.2,5.0,5,False
2019-02-17,1267.92,2,17,6.3,-0.8,2.8,0.0,0.0,0.0,4.0,6,False
2019-02-18,1041.93,2,18,3.7,-1.9,0.9,0.0,0.0,0.0,1.0,0,True
2019-02-19,1154.83,2,19,2.8,0.4,1.6,2.0,0.0,5.2,1.0,1,False
2019-02-20,1927.96,2,20,6.1,-0.2,3.0,0.0,0.0,0.0,0.0,2,False
2019-02-21,2137.44,2,21,6.3,-3.6,1.4,0.0,0.0,0.0,0.0,3,False
2019-02-22,815.3299999999998,2,22,5.9,0.9,3.4,5.0,1.0,6.6,0.0,4,False
2019-02-23,661.63,2,23,6.8,1.1,4.0,1.8,0.0,1.8,0.0,5,False
2019-02-24,1631.21,2,24,6.7,-1.6,2.6,0.0,0.0,0.0,0.0,6,False
2019-02-25,2254.58,2,25,5.2,-4.7,0.3,0.0,0.0,0.0,0.0,0,False
2019-02-26,2405.350000000001,2,26,6.0,-6.5,-0.3,0.0,0.0,0.0,0.0,1,False
2019-02-27,1990.81,2,27,5.2,-4.1,0.6,0.0,0.0,0.0,0.0,2,False
2019-02-28,2076.21,2,28,7.1,-1.0,3.1,0.0,0.0,0.0,0.0,3,False
2019-03-01,2245.92,3,1,6.3,-4.5,0.9,0.0,0.0,0.0,0.0,4,False
2019-03-02,2206.79,3,2,6.9,-4.6,1.2,0.0,0.0,0.0,0.0,5,False
2019-03-03,2008.61,3,3,6.0,-0.9,2.6,0.0,0.0,0.0,0.0,6,False
2019-03-04,2565.36,3,4,5.4,-4.4,0.5,0.0,0.0,0.0,0.0,0,False
2019-03-05,2566.2200000000007,3,5,8.0,-4.3,1.9,0.0,0.0,0.0,0.0,1,False
2019-03-06,2010.14,3,6,4.5,-4.7,-0.1,1.2,0.0,1.2,0.0,2,False
2019-03-07,1713.87,3,7,5.0,0.0,2.5,1.2,0.0,1.2,0.0,3,False
2019-03-08,1949.34,3,8,6.2,-0.1,3.1,0.0,0.0,0.0,0.0,4,False
2019-03-09,2156.21,3,9,7.0,-4.3,1.4,0.0,0.0,0.0,0.0,5,False
2019-03-10,2199.03,3,10,7.7,-3.3,2.2,0.0,0.0,0.0,0.0,6,False
2019-03-11,1702.89,3,11,7.2,2.1,4.7,13.2,0.0,13.2,0.0,0,False
2019-03-12,2393.33,3,12,8.6,1.6,5.1,3.8,0.0,3.8,0.0,1,False
2019-03-13,2817.5,3,13,10.2,2.4,6.3,0.0,0.0,0.0,0.0,2,False
2019-03-14,2278.48,3,14,9.9,3.4,6.7,3.0,0.0,3.0,0.0,3,False
2019-03-15,2591.29,3,15,12.5,3.8,8.2,0.6,0.0,0.6,0.0,4,False
2019-03-16,2823.32,3,16,11.0,2.3,6.7,0.0,0.0,0.0,0.0,5,False
2019-03-17,3885.18,3,17,11.9,1.4,6.7,0.0,0.0,0.0,0.0,6,False
2019-03-18,4004.64,3,18,14.0,1.2,7.6,0.0,0.0,0.0,0.0,0,False
2019-03-19,4562.530000000002,3,19,15.4,2.9,9.2,0.0,0.0,0.0,0.0,1,False
2019-03-20,4633.93,3,20,13.7,1.8,7.8,0.0,0.0,0.0,0.0,2,False
2019-03-21,4487.93,3,21,16.7,3.1,9.9,0.0,0.0,0.0,0.0,3,False
2019-03-22,3375.11,3,22,17.3,8.4,12.9,0.8,0.0,0.8,0.0,4,False
2019-03-23,2962.81,3,23,13.4,5.1,9.3,0.0,0.0,0.0,0.0,5,False
2019-03-24,2998.09,3,24,10.6,2.8,6.7,0.0,0.0,0.0,0.0,6,False
2019-03-25,3261.44,3,25,11.4,3.9,7.7,5.0,0.0,5.0,0.0,0,False
2019-03-26,2590.04,3,26,13.0,6.9,10.0,2.4,0.0,2.4,0.0,1,False
2019-03-27,4729.27,3,27,12.3,0.1,6.2,0.0,0.0,0.0,0.0,2,False
2019-03-28,4198.92,3,28,14.3,6.2,10.3,0.0,0.0,0.0,0.0,3,False
2019-03-29,4421.98,3,29,14.2,3.5,8.9,0.0,0.0,0.0,0.0,4,False
2019-03-30,4797.78,3,30,13.7,4.0,8.9,0.0,0.0,0.0,0.0,5,False
2019-03-31,4280.33,3,31,13.9,3.7,8.8,0.0,0.0,0.0,0.0,6,False
2019-04-01,4961.030000000002,4,1,14.9,3.2,9.1,0.0,0.0,0.0,0.0,0,False
2019-04-02,4938.92,4,2,15.8,2.7,9.3,0.0,0.0,0.0,0.0,1,False
2019-04-03,1944.87,4,3,14.6,9.1,11.9,19.6,0.0,19.6,0.0,2,False
2019-04-04,4045.3,4,4,13.7,8.0,10.9,0.4,0.0,0.4,0.0,3,False
2019-04-05,2109.52,4,5,14.6,7.9,11.3,5.6,0.0,5.6,0.0,4,False
2019-04-06,972.52,4,6,11.8,7.1,9.5,4.8,0.0,4.8,0.0,5,False
2019-04-07,2713.6,4,7,14.1,6.8,10.5,4.2,0.0,4.2,0.0,6,False
2019-04-08,3113.67,4,8,11.4,4.2,7.8,3.0,0.0,3.0,0.0,0,False
2019-04-09,4670.67,4,9,13.2,7.3,10.3,0.6,0.0,0.6,0.0,1,False
2019-04-10,2796.98,4,10,11.8,6.6,9.2,6.2,0.0,6.2,0.0,2,False
2019-04-11,2214.37,4,11,9.1,6.5,7.8,13.0,0.0,13.0,0.0,3,False
2019-04-12,4450.92,4,12,11.4,3.6,7.5,0.0,0.0,0.0,0.0,4,False
2019-04-13,961.73,4,13,11.1,6.9,9.0,10.0,0.0,10.0,0.0,5,False
2019-04-14,2511.24,4,14,10.8,3.6,7.2,0.0,0.0,0.0,0.0,6,False
2019-04-15,4239.99,4,15,10.9,3.6,7.3,0.0,0.0,0.0,0.0,0,False
2019-04-16,3574.71,4,16,12.3,1.6,7.0,0.4,0.0,0.4,0.0,1,False
2019-04-17,3196.69,4,17,15.4,7.5,11.5,1.6,0.0,1.6,0.0,2,False
2019-04-18,1324.24,4,18,11.6,9.6,10.6,27.0,0.0,27.0,0.0,3,False
2019-04-19,2404.28,4,19,13.6,9.6,11.6,1.6,0.0,1.6,0.0,4,True
2019-04-20,5134.52,4,20,13.6,7.8,10.7,0.0,0.0,0.0,0.0,5,False
2019-04-21,3353.57,4,21,14.9,6.2,10.6,0.0,0.0,0.0,0.0,6,False
2019-04-22,1057.2,4,22,11.3,8.7,10.0,12.8,0.0,12.8,0.0,0,False
2019-04-23,4042.39,4,23,14.3,9.4,11.9,0.0,0.0,0.0,0.0,1,False
2019-04-24,5156.1100000000015,4,24,12.7,6.1,9.4,0.0,0.0,0.0,0.0,2,False
2019-04-25,4927.48,4,25,12.7,1.1,6.9,0.0,0.0,0.0,0.0,3,False
2019-04-26,4378.2,4,26,13.1,7.7,10.4,0.0,0.0,0.0,0.0,4,False
2019-04-27,3119.73,4,27,12.4,6.5,9.5,0.0,0.0,0.0,0.0,5,False
2019-04-28,4689.26,4,28,14.6,1.9,8.3,0.0,0.0,0.0,0.0,6,False
2019-04-29,4952.43,4,29,15.9,2.2,9.1,0.0,0.0,0.0,0.0,0,False
2019-04-30,5871.969999999998,4,30,15.4,4.0,9.7,0.0,0.0,0.0,0.0,1,False
2019-05-01,5552.37,5,1,16.9,7.6,12.3,0.0,0.0,0.0,0.0,2,False
2019-05-02,4613.6399999999985,5,2,16.4,7.8,12.1,0.0,0.0,0.0,0.0,3,False
2019-05-03,4494.940000000001,5,3,14.8,9.4,12.1,0.0,0.0,0.0,0.0,4,False
2019-05-04,4948.33,5,4,16.4,5.3,10.9,0.0,0.0,0.0,0.0,5,False
2019-05-05,5179.190000000001,5,5,16.4,6.2,11.3,0.0,0.0,0.0,0.0,6,False
2019-05-06,5545.3899999999985,5,6,17.4,8.6,13.0,0.0,0.0,0.0,0.0,0,False
2019-05-07,6276.26,5,7,17.1,10.7,13.9,0.0,0.0,0.0,0.0,1,False
2019-05-08,6430.59,5,8,17.5,11.0,14.3,0.0,0.0,0.0,0.0,2,False
2019-05-09,6466.87,5,9,21.4,9.9,15.7,0.0,0.0,0.0,0.0,3,False
2019-05-10,6296.26,5,10,22.9,9.7,16.3,0.0,0.0,0.0,0.0,4,False
2019-05-11,5917.28,5,11,21.4,10.8,16.1,0.0,0.0,0.0,0.0,5,False
2019-05-12,4194.37,5,12,16.6,11.2,13.9,0.0,0.0,0.0,0.0,6,False
2019-05-13,5595.38,5,13,16.6,8.4,12.5,0.0,0.0,0.0,0.0,0,False
2019-05-14,2499.83,5,14,14.8,10.8,12.8,9.4,0.0,9.4,0.0,1,False
2019-05-15,5686.34,5,15,17.6,10.6,14.1,1.6,0.0,1.6,0.0,2,False
2019-05-16,4926.57,5,16,17.6,11.7,14.7,0.2,0.0,0.2,0.0,3,False
2019-05-17,3704.62,5,17,17.0,11.1,14.1,0.0,0.0,0.0,0.0,4,False
2019-05-18,5378.66,5,18,18.2,11.4,14.8,0.0,0.0,0.0,0.0,5,False
2019-05-19,5277.01,5,19,21.1,9.3,15.2,0.0,0.0,0.0,0.0,6,False
2019-05-20,1181.05,5,20,14.5,10.9,12.7,7.0,0.0,7.0,0.0,0,True
2019-05-21,4873.47,5,21,18.4,10.0,14.2,1.6,0.0,1.6,0.0,1,False
2019-05-22,6922.440000000001,5,22,20.2,8.7,14.5,0.0,0.0,0.0,0.0,2,False
2019-05-23,6839.12,5,23,19.9,9.4,14.7,0.0,0.0,0.0,0.0,3,False
2019-05-24,4153.53,5,24,16.4,12.0,14.2,2.0,0.0,2.0,0.0,4,False
2019-05-25,1446.02,5,25,15.1,10.2,12.7,8.6,0.0,8.6,0.0,5,False
2019-05-26,7042.26,5,26,20.6,7.6,14.1,0.0,0.0,0.0,0.0,6,False
2019-05-27,7041.42,5,27,23.9,11.8,17.9,0.0,0.0,0.0,0.0,0,False
2019-05-28,6758.129999999999,5,28,19.5,12.4,16.0,0.0,0.0,0.0,0.0,1,False
2019-05-29,6603.63,5,29,19.1,11.4,15.3,0.0,0.0,0.0,0.0,2,False
2019-05-30,6706.51,5,30,21.2,9.9,15.6,0.0,0.0,0.0,0.0,3,False
2019-05-31,6772.04,5,31,22.2,11.3,16.8,0.0,0.0,0.0,0.0,4,False
2019-06-01,6385.27,6,1,21.2,11.1,16.2,0.0,0.0,0.0,0.0,5,False
2019-06-02,5857.82,6,2,24.3,13.7,19.0,0.0,0.0,0.0,0.0,6,False
2019-06-03,6250.99,6,3,20.9,10.7,15.8,0.0,0.0,0.0,0.0,0,False
2019-06-04,7044.48,6,4,20.0,9.4,14.7,0.0,0.0,0.0,0.0,1,False
2019-06-05,4589.42,6,5,17.2,12.3,14.8,0.6,0.0,0.6,0.0,2,False
2019-06-06,6125.49,6,6,17.9,7.9,12.9,0.0,0.0,0.0,0.0,3,False
2019-06-07,4311.969999999998,6,7,17.6,9.3,13.5,8.8,0.0,8.8,0.0,4,False
2019-06-08,4893.1,6,8,19.5,9.8,14.7,0.0,0.0,0.0,0.0,5,False
2019-06-09,5017.56,6,9,20.1,9.9,15.0,0.0,0.0,0.0,0.0,6,False
2019-06-10,6193.18,6,10,20.6,13.2,16.9,0.0,0.0,0.0,0.0,0,False
2019-06-11,7630.79,6,11,23.6,11.2,17.4,0.0,0.0,0.0,0.0,1,False
2019-06-12,7542.28,6,12,29.9,14.3,22.1,0.0,0.0,0.0,0.0,2,False
2019-06-13,6926.72,6,13,24.7,15.1,19.9,0.0,0.0,0.0,0.0,3,False
2019-06-14,5747.0,6,14,20.1,12.4,16.3,0.0,0.0,0.0,0.0,4,False
2019-06-15,6238.6399999999985,6,15,22.0,11.8,16.9,0.0,0.0,0.0,0.0,5,False
2019-06-16,5756.65,6,16,22.7,11.5,17.1,0.0,0.0,0.0,0.0,6,False
2019-06-17,6866.15,6,17,23.5,12.7,18.1,0.0,0.0,0.0,0.0,0,False
2019-06-18,7357.92,6,18,22.0,14.3,18.2,0.0,0.0,0.0,0.0,1,False
2019-06-19,6628.77,6,19,20.0,12.4,16.2,0.0,0.0,0.0,0.0,2,False
2019-06-20,6183.879999999999,6,20,19.5,10.8,15.2,0.2,0.0,0.2,0.0,3,False
2019-06-21,6292.9,6,21,22.0,11.2,16.6,0.0,0.0,0.0,0.0,4,False
2019-06-22,4903.4,6,22,19.5,13.2,16.4,0.0,0.0,0.0,0.0,5,False
2019-06-23,4060.92,6,23,19.0,11.9,15.5,0.0,0.0,0.0,0.0,6,False
2019-06-24,4973.53,6,24,19.9,12.1,16.0,0.6,0.0,0.6,0.0,0,False
2019-06-25,7567.0,6,25,21.2,10.7,16.0,0.0,0.0,0.0,0.0,1,False
2019-06-26,6988.44,6,26,21.4,13.4,17.4,0.0,0.0,0.0,0.0,2,False
2019-06-27,3457.56,6,27,20.3,13.2,16.8,15.4,0.0,15.4,0.0,3,False
2019-06-28,4419.92,6,28,19.3,13.2,16.3,0.6,0.0,0.6,0.0,4,False
2019-06-29,5567.88,6,29,21.6,13.5,17.6,0.0,0.0,0.0,0.0,5,False
2019-06-30,6415.87,6,30,22.5,10.1,16.3,0.0,0.0,0.0,0.0,6,False
2019-07-01,7000.38,7,1,24.4,12.6,18.5,0.0,0.0,0.0,0.0,0,True
